chiname,chifullname,engname,chicapital,continent,gdp,area,population,nobel,longevity,gun,murder
俄羅斯,俄羅斯聯邦,Russia,莫斯科,asia,4000,17098246,146793744,23,70.5,12.3,9.2
盧安達,盧安達共和國,Rwanda,吉佳利,africa,24.61,26338,12374397,0,66.1,0.5,2.52
聖露西亞,聖露西亞,Saint Lucia,卡斯翠,north_america,2.384,616,180454,2,75.2,3.4,29.6
聖文森及格瑞那丁,聖文森及格瑞那丁,Saint Vincent and the Grenadines,金石城,north_america,1.281,389,110608,0,73.2,3.4,36.46
薩摩亞,薩摩亞獨立國,Samoa,阿庇亞,oceania,1.13,2842,200874,0,74,10.1,3.15
聖馬利諾,聖馬利諾共和國,San Marino,聖馬利諾,europe,2.083,61,33431,0,,14.4,0
聖多美普林西比,聖多美普林西比民主共和國,São Tomé and Príncipe,聖多美,africa,,964,201784,0,,3.4,3.36
沙烏地阿拉伯,沙烏地阿拉伯王國,Saudi Arabia,利雅德,asia,1789,2149690,34218169,0,74.5,16.7,1.3
塞內加爾,塞內加爾共和國,Senegal,達卡,africa,43.07,196722,16209125,0,66.7,2,7.38
塞爾維亞,塞爾維亞共和國,Serbia,貝爾格勒,europe,106.6,88361,6963764,0,75.6,39.1,1.1
塞席爾,塞席爾共和國,Seychelles,維多利亞,africa,2.712,452,96762,0,73.2,4.1,12.74
獅子山,獅子山共和國,Sierra Leone,自由城,africa,11.75,71740,7901454,0,50.1,0.5,1.71
新加坡,新加坡共和國,Singapore,新加坡,asia,513.7,716,5638700,0,83.1,0.3,0.2
斯洛伐克,斯洛伐克共和國,Slovakia,布拉提斯拉瓦,europe,178.7,49037,5450421,0,76.7,6.5,1.5
斯洛維尼亞,斯洛維尼亞共和國,Slovenia,盧比安納,europe,70.36,20273,2080908,1,80.8,15.6,0.9
索羅門群島,索羅門群島,Solomon Islands,荷尼阿拉,oceania,1.317,28896,680806,0,69.2,0.2,3.77
南非,南非共和國,South Africa,普利托利亞,africa,757.3,1221037,57725600,10,62.9,9.7,35.9
韓國,大韓民國,South Korea,首爾,asia,2027,100210,51811167,1,82.3,0.2,0.6
南奧塞提亞,南奧塞提亞共和國,South Ossetia,茨欣瓦利,asia,,3900,53532,0,,,
南蘇丹,南蘇丹共和國,South Sudan,朱巴,africa,19.75,644329,12778250,0,57.3,9.6,13.9
西班牙,西班牙王國,Spain,馬德里,europe,1769,505992,46934632,8,82.8,7.5,0.7
斯里蘭卡,斯里蘭卡民主社會主義共和國,Sri Lanka,斯里賈亞瓦德納普拉科特,asia,278.2,65610,21670112,0,74.9,2.4,2.3
蘇丹,蘇丹共和國,Sudan,喀土木,africa,186.8,1861484,41734390,0,64.1,6.6,5.16
蘇利南,蘇利南共和國,Suriname,巴拉馬利波,south_america,7.928,163820,581372,0,71.6,15.9,5.5
瑞典,瑞典王國,Sweden,斯德哥爾摩,europe,521.7,450295,10272518,30,82.4,23.1,1.1
瑞士,瑞士聯邦,Switzerland,伯恩,europe,516.7,41284,8555541,26,83.4,27.6,0.5
敘利亞,阿拉伯敘利亞共和國,Syria,大馬士革,asia,50.28,185180,17070135,0,64.5,8.2,2.2
中華民國,中華民國,Taiwan,臺北,asia,1175,36193,23591031,1,,0,0.82
塔吉克,塔吉克共和國,Tajikistan,杜尚貝,asia,27.67,143100,8931000,0,69.7,0.4,1.61
坦尚尼亞,坦尚尼亞聯合共和國,Tanzania,杜篤瑪,africa,162.8,945087,55890747,0,61.8,0.8,6.95
泰國,泰王國,Thailand,曼谷,asia,1229,513120,66391730,0,74.9,15.1,3.24
東帝汶,東帝汶民主共和國,East Timor,狄力,asia,,14919,1387149,2,68.3,0.3,3.95
多哥,多哥共和國,Togo,洛梅,africa,12.43,56785,7538000,0,59.9,0.8,9
東加,東加王國,Tonga,努瓜婁發,oceania,0.587,747,100651,0,73.5,8,0.95
千里達及托巴哥,千里達及托巴哥共和國,Trinidad and Tobago,西班牙港,north_america,42.78,5130,1359193,1,71.2,3.2,30.88
突尼西亞,突尼西亞共和國,Tunisia,突尼西亞市,africa,135.9,163610,11551448,0,75.3,1.1,3.05
土耳其,土耳其共和國,Turkey,安卡拉,asia,2133,783562,82003882,2,75.8,16.5,4.31
土庫曼,土庫曼,Turkmenistan,阿什哈巴特,asia,103.5,488100,5942089,0,66.3,0.4,4.22
吐瓦魯,吐瓦魯,Tuvalu,福納佛提,oceania,0.042,26,10200,0,,1.2,18.65
烏干達,烏干達共和國,Uganda,康培拉,africa,88.61,241550,40006700,0,62.3,0.8,11
烏克蘭,烏克蘭,Ukraine,基輔,europe,366.4,603500,42055934,2,71.3,9.9,6.2
阿聯,阿拉伯聯合大公國,United Arab Emirates,阿布達比,asia,691.9,83600,9770529,0,77.1,16.7,0.5
英國,大不列顛及北愛爾蘭聯合王國,United Kingdom,倫敦,europe,2880,242495,66435600,133,81.2,,1.2
美國,美利堅合眾國,United States,華盛頓哥倫比亞特區,north_america,19360,9525067,329617000,375,79.3,120.5,5.3
烏拉圭,烏拉圭東岸共和國,Uruguay,蒙特維多,south_america,78.41,176215,3518552,0,77,34.7,8.2
烏茲別克,烏茲別克共和國,Uzbekistan,塔什干,asia,221.7,447400,33631388,0,69.4,0.4,1.1
萬那杜,萬那杜共和國,Vanuatu,維拉港,oceania,0.787,12189,304500,0,72,3.9,2.13
梵蒂岡,梵蒂岡城國,Vatican City,梵蒂岡,europe,,0.44,799,0,,,0
委內瑞拉,委內瑞拉玻利瓦爾共和國,Venezuela,卡拉卡斯,south_america,389.4,916445,32219521,1,74.1,18.5,56.33
越南,越南社會主義共和國,Vietnam,河內,asia,643.9,331212,96208984,1,76,1.6,1.52
西撒哈拉,撒拉威阿拉伯民主共和國,Western Sahara,,,0.9065,266000,582463,0,,,
葉門,葉門共和國,Yemen,沙那,asia,68.95,527968,29161922,1,65.7,52.8,6.66
尚比亞,尚比亞共和國,Zambia,路沙卡,africa,68.9,752612,17381168,0,61.8,0.9,5.3
辛巴威,辛巴威共和國,Zimbabwe,哈拉雷,africa,33.87,390757,15159624,0,60.7,2.8,6.67
